config.seed,timestamp,config.config_name,config.config_stem,config.config_path,experiment_dir,summary_path,config.num_pos,config.gen_strategy,config.empirical_bank_size,config.empirical_bank_select_mode,config.empirical_sigma_scale,config.augment_copies,pattern_eval.P  DFUDS,pattern_eval.P' DFUDS,pattern_eval.ノード数の差 (P'- P),pattern_eval.辺数の差 (P'- P),pattern_eval.変数数の差 (P'- P),pattern_eval.DFUDS長の差 (P'- P),pattern_eval.特化度 (node増加率),pattern_eval.Pprime_vs_original_match_rate,vae_eval.encoded_z,vae_eval.empirical_latent,vae_eval.empirical_latent_unique,vae_eval.mu_profile,generate_eval.match_rate,generate_eval.unique_graphs,config.K,config.add_nodes,config.config_seed,config.edge_labels,config.encoder_layers,config.eval_num_samples,config.max_beta,config.model_path,config.n_samples,config.output,config.pat_nodes,config.total_epochs,generate_eval.match_rate_count,generate_eval.max_trials,generate_eval.saved_neg,generate_eval.saved_pos,generate_eval.strategy,generate_eval.total_gen,pattern_eval.P  DFUDS長,pattern_eval.P  ノード数,pattern_eval.P  変数数,pattern_eval.P  辺数,pattern_eval.P' DFUDS長,pattern_eval.P' ノード数,pattern_eval.P' 変数数,pattern_eval.P' 辺数,pattern_eval.Pprime_vs_original_count,vae_eval.Pprime_vs_original,vae_eval.Pprime_vs_original_count,vae_eval_empirical_sweep.bank100.actual_bank_size,vae_eval_empirical_sweep.bank100.bank_size,vae_eval_empirical_sweep.bank100.match_rate,vae_eval_empirical_sweep.bank100.select_mode,vae_eval_empirical_sweep.bank100.sigma_scale,vae_eval_empirical_sweep.bank100.total_means,vae_eval_empirical_sweep.bank100.unique_graphs,vae_eval_empirical_sweep.bank20.actual_bank_size,vae_eval_empirical_sweep.bank20.bank_size,vae_eval_empirical_sweep.bank20.match_rate,vae_eval_empirical_sweep.bank20.select_mode,vae_eval_empirical_sweep.bank20.sigma_scale,vae_eval_empirical_sweep.bank20.total_means,vae_eval_empirical_sweep.bank20.unique_graphs,vae_eval_empirical_sweep.bank50.bank_size,vae_eval_empirical_sweep.bank50.match_rate,vae_eval_empirical_sweep.bank50.select_mode,vae_eval_empirical_sweep.bank50.sigma_scale,vae_eval_empirical_sweep.bank50.unique_graphs,vae_eval_empirical_sweep.full.bank_size,vae_eval_empirical_sweep.full.match_rate,vae_eval_empirical_sweep.full.select_mode,vae_eval_empirical_sweep.full.sigma_scale,vae_eval_empirical_sweep.full.unique_graphs
1234,20260329_103723,np500_bank100.json,np500_bank100,/home/shoudai/Py/28/configs/empirical/np500_bank100.json,experiments/20260329_103723_np500_bank100_seed1234,experiments/20260329_103723_np500_bank100_seed1234/summary.json,500,empirical,100,fps,0.15,1,"0,0,#,0,a,0,0,0,0,0,e,0,a,0,a,X,a,c,b,a","0,0,#,0,a,0,0,0,0,0,e,0,a,0,a,0,X,X,a,b,a,c",1,1,1,4,0.1,1.0,1.0,1.0,63,0.49,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np500_bank100,10,300,100/100,5000,0,100,empirical,100,39,10,1,9,43,11,2,10,500/500,1.0,500/500,100,100,1.0,fps,0.15,100,63,,,,,,,,,,,,,,,,,
1235,20260329_104059,np500_bank100.json,np500_bank100,/home/shoudai/Py/28/configs/empirical/np500_bank100.json,experiments/20260329_104059_np500_bank100_seed1235,experiments/20260329_104059_np500_bank100_seed1235/summary.json,500,empirical,100,fps,0.15,1,"0,0,#,0,d,0,0,b,0,c,0,d,0,b,0,0,e,a,X,X","0,0,#,0,d,0,0,b,X,0,c,0,d,0,b,0,X,X",-1,-1,1,-4,-0.1,1.0,0.95,0.97,77,0.0,0.96,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np500_bank100,10,300,96/100,5000,4,96,empirical,100,39,10,2,9,35,9,3,8,500/500,1.0,500/500,100,100,0.97,fps,0.15,100,77,,,,,,,,,,,,,,,,,
1236,20260329_104311,np500_bank100.json,np500_bank100,/home/shoudai/Py/28/configs/empirical/np500_bank100.json,experiments/20260329_104311_np500_bank100_seed1236,experiments/20260329_104311_np500_bank100_seed1236/summary.json,500,empirical,100,fps,0.15,1,"0,0,0,#,0,e,0,d,0,0,e,0,0,c,X,X,X,0,a,X","0,0,0,#,0,e,0,d,0,e,0,X,X,0,a,X",-2,-2,-1,-8,-0.2,1.0,0.99,1.0,72,0.19,0.99,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np500_bank100,10,300,99/100,5000,1,99,empirical,100,39,10,4,9,31,8,3,7,500/500,1.0,500/500,100,100,1.0,fps,0.15,100,72,,,,,,,,,,,,,,,,,
1237,20260329_104515,np500_bank100.json,np500_bank100,/home/shoudai/Py/28/configs/empirical/np500_bank100.json,experiments/20260329_104515_np500_bank100_seed1237,experiments/20260329_104515_np500_bank100_seed1237/summary.json,500,empirical,100,fps,0.15,1,"0,0,0,#,0,0,0,e,0,0,0,e,c,X,X,0,d,X,X,d","0,0,0,#,0,0,0,e,X,0,0,0,e,X,X,c,0,d,X,d",0,0,0,0,0.0,1.0,1.0,1.0,60,0.54,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np500_bank100,10,300,100/100,5000,0,100,empirical,100,39,10,4,9,39,10,4,9,500/500,1.0,500/500,100,100,1.0,fps,0.15,100,60,,,,,,,,,,,,,,,,,
1238,20260329_105123,np500_bank100.json,np500_bank100,/home/shoudai/Py/28/configs/empirical/np500_bank100.json,experiments/20260329_105123_np500_bank100_seed1238,experiments/20260329_105123_np500_bank100_seed1238/summary.json,500,empirical,100,fps,0.15,1,"0,0,0,0,#,0,0,0,0,0,0,e,X,X,X,X,X,X,X,X","0,0,0,0,#,X,X,0,0,0,0,0,0,e,X,X,X,X,X,X",0,0,0,0,0.0,1.0,1.0,1.0,65,1.0,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np500_bank100,10,300,100/100,5000,0,100,empirical,100,39,10,8,9,39,10,8,9,500/500,1.0,500/500,100,100,1.0,fps,0.15,100,65,,,,,,,,,,,,,,,,,
1239,20260329_105502,np500_bank100.json,np500_bank100,/home/shoudai/Py/28/configs/empirical/np500_bank100.json,experiments/20260329_105502_np500_bank100_seed1239,experiments/20260329_105502_np500_bank100_seed1239/summary.json,500,empirical,100,fps,0.15,1,"0,0,0,#,0,0,a,0,d,X,0,d,b,0,0,c,0,c,X,X","0,0,0,#,0,0,a,0,d,b,0,d,X,0,0,c,X,0,c,X",0,0,0,0,0.0,1.0,1.0,1.0,64,0.01,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np500_bank100,10,300,100/100,5000,0,100,empirical,100,39,10,3,9,39,10,3,9,500/500,1.0,500/500,100,100,1.0,fps,0.15,100,64,,,,,,,,,,,,,,,,,
1240,20260329_110155,np500_bank100.json,np500_bank100,/home/shoudai/Py/28/configs/empirical/np500_bank100.json,experiments/20260329_110155_np500_bank100_seed1240,experiments/20260329_110155_np500_bank100_seed1240/summary.json,500,empirical,100,fps,0.15,1,"0,0,#,0,d,0,d,0,0,c,0,d,0,0,a,X,X,0,c,e","0,0,#,0,d,0,d,0,0,c,0,d,0,0,a,0,X,X,X,0,c,e",1,1,1,4,0.1,1.0,1.0,1.0,64,0.17,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np500_bank100,10,300,100/100,5000,0,100,empirical,100,39,10,2,9,43,11,3,10,500/500,1.0,500/500,100,100,1.0,fps,0.15,100,64,,,,,,,,,,,,,,,,,
1241,20260329_110736,np500_bank100.json,np500_bank100,/home/shoudai/Py/28/configs/empirical/np500_bank100.json,experiments/20260329_110736_np500_bank100_seed1241,experiments/20260329_110736_np500_bank100_seed1241/summary.json,500,empirical,100,fps,0.15,1,"0,0,0,#,0,d,0,e,0,0,0,b,0,e,0,c,X,X,X,X","0,0,0,#,X,0,d,0,e,0,0,0,b,X,X,0,e,X",-1,-1,0,-4,-0.1,1.0,0.98,0.98,68,0.0,0.97,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np500_bank100,10,300,97/100,5000,3,97,empirical,100,39,10,4,9,35,9,4,8,500/500,1.0,500/500,100,100,0.98,fps,0.15,100,68,,,,,,,,,,,,,,,,,
1242,20260329_110934,np500_bank100.json,np500_bank100,/home/shoudai/Py/28/configs/empirical/np500_bank100.json,experiments/20260329_110934_np500_bank100_seed1242,experiments/20260329_110934_np500_bank100_seed1242/summary.json,500,empirical,100,fps,0.15,1,"0,0,0,0,#,0,0,0,0,a,0,e,X,0,d,X,X,X,b,X","0,0,0,0,#,X,X,b",-6,-6,-3,-24,-0.6,1.0,0.91,0.93,73,0.44,0.9,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np500_bank100,10,300,90/100,5000,10,90,empirical,100,39,10,5,9,15,4,2,3,500/500,1.0,500/500,100,100,0.93,fps,0.15,100,73,,,,,,,,,,,,,,,,,
1243,20260329_111318,np500_bank100.json,np500_bank100,/home/shoudai/Py/28/configs/empirical/np500_bank100.json,experiments/20260329_111318_np500_bank100_seed1243,experiments/20260329_111318_np500_bank100_seed1243/summary.json,500,empirical,100,fps,0.15,1,"0,0,0,0,#,0,e,0,0,e,0,d,0,0,c,X,X,b,e,X","0,0,0,0,#,0,e,0,0,e,0,d,0,0,c,X,X,b,X,e",0,0,0,0,0.0,1.0,1.0,1.0,64,0.0,1.0,100,3,10,1234,5,2,100,0.05,best_model.pt,100,generated_empirical_np500_bank100,10,300,100/100,5000,0,100,empirical,100,39,10,3,9,39,10,3,9,500/500,1.0,500/500,100,100,1.0,fps,0.15,100,64,,,,,,,,,,,,,,,,,
